doi,category,clean_abs
10.1115/1.4045292,supervised,american society of mechanical engineers asme all rights reservedthis paper demonstrates the development of a thermal error model that is applied on the feed axis of machine tools and based on the neural network this model can accurately predict the value of the axial thermal error that appears on machine feed axis in principle there is the generalized regression neural network grnn which has the good nonlinear mapping ability and serves to construct the error model about variables the data of temperature and axial thermal error of machine feed axis are the inputs and outputs respectively the particle swarm optimization pso is a component of this model which serves to optimize the smoothing factor in grnn and the particle swarm optimizationbased generalized regression neural network psogrnn model is built from experiment the datum is acquired from a machining centre in four different feed rates thereafter the back propagation bp neural network model the traditional grnn model and the psogrnn model were established and the data collected from the experimentation are input in three models for prediction compared with the other two models used in this paper the psogrnn model can maintain higher prediction accuracy at different feed speed and the prediction accuracy of it changes less in different feed rates the proposed model solved the problem of generalization ability of the neural network at different feed rate which shows good performance and lays a good foundation for further research like thermal error compensation
10.1007/s11356-022-23780-5,supervised,the authors under exclusive licence to springerverlag gmbh germany part of springer naturein turkey facilities for the use of biomass resources in energy production are increasing and new conversion facilities are commissioned every year to provide environmentally friendly energy production therefore reliable energy potential estimates are needed in this study the animal manurebasedbiogas potentials of antalya isparta and burdur provinces in the western mediterranean region of turkey were calculated here special information on cattle small ruminants and poultry and animal age number and manure amount information were used in detail in addition carbon dioxide emissions coal electricity and thermal energy methane emission values with the tier and tier approaches were calculated and predicted by machine learning algorithms to determine the model with the best results machine learning algorithms support vector machine svm multilayer perceptron mlp and linear regression lr were used and hyperparameter optimization was performed according to the results of biogas potential co emission electricity production and thermal energy estimations svm models are seen as the best models with r when the coal amount estimation is examined the lr models produce better results than svm and mlp with r in the estimation of ch using the tier approach the mlp model can perform the best estimation with r in the ch modeling obtained using the tier approach the lr models were superior to the other models with the performance value of r
10.3390/a14060188,supervised,by the authors licensee mdpi basel switzerlandin view of the characteristics of the guidance navigation and control gnc system of the lunar orbit rendezvous and docking rvd we design an auxiliary safety prediction system based on the humanmachine collaboration framework the system contains two parts including the construction of the rendezvous and docking safety rule knowledge base by the use of machine learning methods and the prediction of safety by the use of the base first in the ground semiphysical simulation test environment feature extraction and matching are performed on the images taken by the navigation surveillance camera then the matched features and the rendezvous and docking deviation are used to form training sample pairs which are further used to construct the safety rule knowledge base by using the decision tree method finally the safety rule knowledge base is used to predict the safety of the subsequent process of the rendezvous and docking based on the current images taken by the surveillance camera and the probability of success is obtained semiphysical experiments on the ground show that the system can improve the level of intelligence in the flight control process and effectively assist ground flight controllers in data monitoring and mission decisionmaking
10.1016/j.infrared.2025.105836,supervised,elsevier bvthe identification of maize seed varieties is crucial for ensuring high agricultural production quality enhancing food security regulating the seed market advancing technological development and supporting environmental sustainability this study applied a highthroughput nearinfrared detection system to identify various maize seed varieties using spectral data different preprocessing methods and classification models were explored to construct a classification model for mixedcoated maize seeds nine classifications results indicated that fullspectrum technology effectively distinguishes between mixedcoated varieties optimization with cars and spa algorithms identified the optimal model sgcarsspalr which used feature bands to achieve classification accuracies of and for calibration and test sets respectively additionally a threeclass model for singlecoated seeds was developed enhancing the classifiers generalization ability through feature selection and model optimization findings demonstrate that fullspectrum technology performs best for identifying varieties with the same coating type especially uncoated seeds the sgcarsspalr model achieved exceptional classification accuracy for both calibration and test sets using only feature bands underscoring this methods efficiency and suitability for highthroughput seed analysis applications
10.1007/s43939-025-00408-2,supervised,additive manufacturing am offers design flexibility and shorter lead times in manufacturing newer products the layer by layer manufacturing approach often introduces defects that can deteroriate part performance which require reliable inspection to detect quality manual inspection often followed in industries are slow and error prone which thrusts for the need to automate inspection this work proposes a modular deep learning framework for objection detection and defect analysis components manufactured by fused deposition modelling a realworld dataset of images from additively manufactured elevator maintainance components is taken to test the model and evaluate performanceyolov and faster rcnn are used for object detection cnn for binary defect classification and mobilenet to classify both defect severitylevels and defect type the model successfully predicted whether an object was defective determined its defect severity level and correctly labeled the defect type with greater accuracy yolov yielded slightly better results in comparison to faster rcnn for object detection with a precision of around and recall of the model accurately identified whether an object was defective determined its defect severity level and correctly labeled the defect type with high precision
10.1109/I2MTC60896.2024.10561167,supervised,ieeeindustrial conveyor belt systems are an efficient means of transport due to their adaptability and extension nonetheless such systems are prone to various failures including but not limited to idler anomalies belt tears and pin misalignment which can cause significant disruptions in the production process preemptive maintenance and health monitoring of these conveyor belts is a common practice for avoiding these failures but a challenging task due to the rarity of comprehensive anomaly detection datasets in the area with current works aimed at evaluating the belts immediate condition at fixed points this study addresses this research gap by comparing multiple machine learning techniques such as a proposed hybrid neural network hnn tailored for classification of multiple anomaly classes as well as machine learning approaches for time series based on feature extraction catch minirocket arsenal and time series forest our proposed hnn architecture performed better in classifying and distinguishing between different types of anomalies with an accuracy of the obtained results suggest a promising approach for the area of predictive maintenance for industrial conveyor systems as well as gives insights on possible improvements on the model and future research
,supervised,copyright society of petroleum engineersthe identification of oil and water layers owl from well log data is an important task in petroleum exploration and engineering at present the commonly used methods for owl identification are timeconsuming low accuracy or need better experience of researchers therefore some machine learning methods have been developed to identify the lithology and owl based on logging while drilling data this paper optimizes machine learning methods to identify owl while drilling recently several computational algorithms have been used for owl identification to improve the prediction accuracy in this paper we evaluate three popular machine learning methods namely the oneagainstrest support vector machine oneagainstone support vector machine and random forest first we choose apposite training set data as a sample for model training then gridsearch method was used to find the approximate range of reasonable parameters value and then using kfold cross validation to optimize the final parameters and to avoid overfitting finally choosing apposite test set data to verify the model the method of using machine learning method to identify owl while drilling has been successfully applied in weibei oilfield we select groups of well logging response data for production wells among them groups of lwd data were selected as the test set data natural gamma shale content acoustic time difference and deepsensing logs were selected as input feature parameters after gridsearch and fold cross validation the results suggest that random forest method is the best algorithm for supervised classification of owl using well log data the accuracy of the three classifiers after the calculation of the training set is greater than but their differences are relative large for the test set the calculated accuracy of the three classifiers is about with a small difference the oneagainstrest support vector machine classifier spends much more time than other methods the oneagainstone support vector machine classifier is the classifier which training set accuracy and test set accuracy are the lowest in three methods although all the calculation results have diffierences in accuracy of owl identification their accuracy is relatively high for different reservoirs taking into account the time cost and model calculation accuracy we can use random forest and oneagainstone support vector machine models to identify owl in real time during drilling
10.3390/a14100299,supervised,by the authors licensee mdpi basel switzerlandaccurate stock market prediction models can provide investors with convenient tools to make better databased decisions and judgments moreover retail investors and institutional investors could reduce their investment risk by selecting the optimal stock index with the help of these models predicting stock index price is one of the most effective tools for risk management and portfolio diversification the continuous improvement of the accuracy of stock index price forecasts can promote the improvement and maturity of chinas capital market supervision and investment it is also an important guarantee for china to further accelerate structural reforms and manufacturing transformation and upgrading in response to this problem this paper introduces the bat algorithm to optimize the three free parameters of the svr machine learning model constructs the basvr hybrid model and forecasts the closing prices of stock indexes in chinese stock market the total sample comes from january the th trading day in to december we select the last and days of whole sample data as test sets for shortterm midterm and longterm forecast respectively the empirical results show that the basvr model outperforms the polynomial kernel svr model and sigmoid kernel svr model without optimized initial parameters in the robustness test part we use the stationary time series data after the firstorder difference of six selected characteristics to repredict compared with the random forest model and ann model the prediction performance of the basvr model is still significant this paper also provides a new perspective on the methods of stock index forecasting and the application of bat algorithms in the financial field
10.3390/en18133301,supervised,by the authorsas turkeys energy demand surges due to industrialization population growth and economic development precise forecasting of electricity demand has become crucial for ensuring energy security and facilitating sustainable planning this study undertakes an analysis of turkeys current energy landscape and develops longterm electricity demand forecasts utilizing a diverse array of statistical and machine learning models including linear regression polynomial regression and artificial neural networks anns by incorporating economic indicators demographic trends and historical consumption data this research projects turkeys electricity demand up to among the various influencing factors industrial production stands out as the most significant driver the findings offer strategic insights into infrastructure investments the integration of renewable energy and policies aimed at enhancing efficiency this research presents a datadriven policyoriented framework to assist decisionmakers in reducing import dependence while steering turkey towards a sustainable energy transition
10.1080/01694243.2023.2241642,supervised,informa uk limited trading as taylor francis groupbead geometry plays a significant role in the fabrication of artefacts via the wire arc additive manufacturing waam route especially with respect to the dimensional characteristics surface properties and part density it also substantially affects the material penetration part accuracy and thickness of subsequent layers the present study focuses on the effect of processing parameters on singlebead geometry for fabricating lsi stainless steel in pulsedmode metal transfer waam models were developed by utilizing multiple regression modelling machine learning ml based on back propagation neural network bpnn and finite element modelling fem with four process parameters wire feed rate wfr torch travel speed tts voltage v and contact tiptosubstrate distance ctsd each considered at three levels response surface methodology was utilized for design of experiments to obtain threebead geometry responses namely width of weld bead wwb height of weld bead hwb and depth of penetration dop the results confirm that all three proposed models predict bead geometry reasonably however accuracy of mlbased bpnn method is better as compared to the regression and fembased approaches for multiobjective optimization a desirability function approach is used which predicts the optimal conditions at wfr of mmin tts of mmmin voltage of v and the ctsd of mm for minimum wwb maximum hwb and minimum dop a multilayered wall of sslsi is fabricated with optimized process parameters and it is found that the ultimate tensile strength yield strength and percentage elongation are mpa mpa and respectively waamdeposited structure reveals stable deposition no debondingdelamination and complete fusion between layers the results of the present article will go a long way in aiding the researchersindustrial personnel in arriving on the optimal modelling approach and deposition conditions for waamfabricated sslsi parts with enhanced mechanical properties and productivity
10.1016/j.optcom.2025.131654,supervised,organic solar cells oscs are one of the most promising solar cells due to the possible for largescale and lowcost printed production therefore efficient manufacturing processes and optimization methods are crucial currently the traditional trialanderror method is mostly used to optimize device performance which is complex and timeconsuming previous machine learning ml methods can reduce the workload but relay on multiple inputs to accelerate the optimization process a novel mlbased approach was proposed to predict the power conversion efficiency pce of oscs utilizing the reflectance spectrum of the transparent electrodecharge transport layeractive layer tca triplelayer for this purpose a dataset containing pces of six types of oscs with different active layer materials and reflectance spectra of tca triplelayers had been constructed by simulations via finitedifference timedomain method based on the dataset machine learning algorithms were employed to construct the regression models spectra preprocessing and feature extraction techniques were integrated to refine the predictive accuracy of these models consequently the model based on multilayer perceptron regression mlpr algorithm demonstrated the best performance with coefficient of determination r of and rootmeansquared error of these results underscore the potential to accurately predict the pce of oscs from the reflectance spectra of tca triplelayer ultimately a strategy was further proposed to utilize the developed regression model for realtime quality monitoring of tca triplelayer during device fabrication this offers a rapid way to evaluate the quality of tca triplelayers and their influence on device performance
10.3390/su17041669,supervised,by the authorsprevious studies on carrying capacity have primarily focused on measuring agricultural production conditions while neglecting the coupling effects among production conditions production materials and the external environment the coupling effects of agricultural water soil energy and the external environment therefore this paper introduces the concept of the carrying capacity of a regional agricultural waterlandenergy coupling system wlecs develops an evaluation framework comprising indicators from the perspectives of stability collaboration and resilience and constructs an improved random forest model based on the redbilled blue magpie optimizer rbmo finally it is applied to the evaluation of wlecs carrying capacity in chinas main grain producing area heilongjiang province the results demonstrate that the constructed rbmorf model exhibits stability and reasonableness with high fitting accuracy the collaboration weight accounts for the highest proportion indicating that the collaboration within the subsystem has the greatest impact on the carrying capacity in terms of time scale the wlecs carrying capacity in heilongjiang province shows an upward trend characterized by three stages a lowlevel fluctuation period a growth period and a rapid growth period in terms of spatial scale the overall spatial pattern is low in the west and high in the east and stable in the north and south the key driving factors are the effective irrigation index indirect water footprint and agricultural waterland matching degree the research results demonstrate the carrying capacity of the wle coupling system holds significant implications for formulating regional agricultural resource optimization allocation plans and promoting agricultural sustainable development
10.1109/ICONAT61936.2024.10774722,supervised,ieeesuccessful operations in industries such as recycling manufacturing and quality control depend on identifying and classifying different types of glass traditional methods including manual analysis and traditional image processing methods often suffer from errors and inconsistencies due to human factors and variations this paper introduces a new automatic glass type identification system that uses advanced learning techniques specifically knearest neighbors knn cnnrnn by applying these algorithms it is aimed to increase the accuracy and performance of the systems glass type classification next we delve into the design and implementation of machine learning models by discussing data collection techniques feature extraction technology and training methods a comparative analysis of the performance of knn rnn naive bayes logistic regression random forest feed forward network rnn ann cnn is performed and their accuracy performance and robustness are evaluated in different situations it shows the most accurate and reliable glass type classification among traditional methods this study also explores the benefits of using such systems in the manufacturing industry and shows how work efficiency can be increased and the number of errors reduced
10.1109/ICSCDS65426.2025.11167755,supervised,ieeethe soaring expansion of digital financial transactions creates an everpressing need for effective and scalable credit card fraud detection techniques traditional machine learning models which perform admirably in a contained environment for development are not able to maintain their performance and resilience under gradually changing production environments in this work the paper recommends an endtoend system that builds on novel integration of machine learning operations mlops site reliability engineering sre and chaos engineering to develop a fraud detection pipeline that is entirely ready for production based on a logistic regression model trained on a simulated dataset of credit card transactions the system achieves high accuracy while offering automated deployment performance monitoring and fault injection capabilities the models proved effectiveness having scored accuracy precision and an aucroc score of furthermore stress testing substantiated the systems scalability and fault tolerance through latency and throughput benchmarks the newfound amalgamation of operational reliability and machinelearningbased anomaly detection sets a new standard within fraud analytics for banks
10.14062/j.issn.0454-5648.20240648,supervised,chinese ceramic society all rights reservedintroduction ultrahigh performance concrete uhpc has garnered widespread attention in the field of civil engineering due to its exceptional mechanical properties durability and workability these superior properties are primarily attributed to its dense microstructure and unique material composition which typically includes cement silica fume quartz powder and superplasticizers along with reinforcing materials like steel fibers the remarkable performance of uhpc not only meets the demands for highperformance materials in modern engineering but also contributes to reducing the lifecycle costs of structures by minimizing section sizes and extending service life however the development and application of uhpc face several challenges the complexity of the preparation process stringent requirements for raw materials and the high sensitivity of uhpc properties to mix design variations increase both production costs and technical difficulties traditional experimental design methods struggle to efficiently optimize uhpc mixtures and issues such as shrinkage and autogenous cracking require precise design solutions these challenges make the composition design and performance prediction of uhpc a focal point in the field with advancements in computer technology and data science machine learning ml offers new tools and approaches for uhpc research and development therefore this study aims to promote the application of ml technology in the uhpc field thereby advancing the intelligent development of advanced construction materials methods the study introduced a comprehensive mlbased framework for uhpc performance prediction and precise design the framework began with data cleaning where the multiple imputation by chained equation mice method with a predictive mean matching pmm kernel was employed to impute missing data in the uhpc database subsequently the isolation forest algorithm was applied to identify and eliminate outlier data thereby improving the quality of the dataset the cleaned and optimized dataset was then used to train an xgboost model optimized via bayesian hyperparameter tuning to accurately predict various uhpc properties two aidriven approaches for uhpc mix design were also proposed one that combined the maa model with ml predictions for multiperformance optimization and another that integrated the ml model with genetic algorithm ga for multiobjective optimization results and discussion the application of mice combined with pmm resulted in a substantial improvement in the accuracy of the imputed data as evidenced by the reduced average deviation between imputed and original data values this enhanced imputation process allowed for a more reliable dataset which directly contributed to the performance of the xgboost prediction models outlier detection via the isolation forest algorithm effectively removed data points that exhibited significant deviation from the norm particularly in compressive strength and density measurements the refined dataset led to more accurate and consistent predictions across all performance metrics after hyperparameter optimization the xgboost model demonstrated exceptional predictive capabilities with notable improvements in performance metrics the predictive accuracy of the model was further validated against experimental data confirming its effectiveness in realworld applications these results highlight the potential of ml techniques in advancing the field of uhpc research the integration of mice and pmm into the data preprocessing pipeline ensured more accurate and reliable datasets which were crucial for developing robust predictive models the success of the xgboost model particularly after bayesian optimization underscores the importance of hyperparameter tuning in enhancing model performance furthermore the study proposes two mlassisted design strategies for uhpc a combined physical packing theory and ml prediction model for initial mixture design and a multiobjective optimization approach using a metaheuristic algorithm for finetuning uhpc compositions these strategies provide a framework for the intelligent and efficient design of uhpc materials aligning with the growing demand for highperformance sustainable construction materials conclusions this research demonstrates the significant potential of ml in predicting and optimizing the performance of uhpc by addressing data challenges and enhancing prediction models the study provides valuable insights into the application of ml in uhpc design the proposed mlassisted design strategies offer a practical approach to developing uhpc with tailored properties paving the way for more sustainable and efficient construction practices
,supervised,copyright society of petroleum engineersthe proposed method is a model using datadriven modeling as many databases are available we propose new alternatives to production analysis using exploratory data analysis eda and deep neural network dnn techniques it is an economical and timesaving model and workflow that can replace and alternate the traditional physicsbased modeling in this study field data used about wells from montney shale formation in alberta canada through eda we verified the correlation between each variable of datasets and data distribution and wells were used as training data for dnn model through data preprocessing such as outlier analysis scatter plot etc the database used for the study was collected through database of geologic systems ltd the data here is largely divided into three features in the case of well information completion and fracturing data production data and well information there are true vertical depth latitude longitude and well direction total proppant placed volume the production data used as the dependent variable in the dnn model is cumulative gas production for month comprehensive machine learning techniques were applied to further improve predictive performance and prevent overfitting problem first we analyzed eda and statistical analysis with various variables related to productivity second developed model were designed and data preprocessing was performed to select input variables that are highly correlated with the output variables third through variable importance analysis based on random forest rf gradient boosting tree gbm extreme gradient booting xgboost we found a parameter that is highly correlated with cumulative gas production finally we proposed the applicability of categorical variables then we performed hyperparameter optimization a difficult problem for the dnn model this paper is not only is this paper intended to propose a robust model but it also provides the insight that petroleum engineers can use as proxy models to replace complexity reservoir modeling or estimate approximate productivity of shale reservoirs before drilling
10.48084/etasr.9146,supervised,dr d pylarinos all rights reservedthe objective of this study is to develop a predictive maintenance algorithm for the abb irb a axis robotic arm using digital simulations a variety of tests were conducted using solidworks including calculations pertaining to stress strain fatigue and heat the simulations included an analysis of the materials used in the construction of the robotic arm which are gray cast iron and aluminum alloy the robotic arm was tested in three positionspicking raised and placingwith loads of kg kg and kg respectively the findings indicated that elevated stress strain and displacement levels diminish the robots operational lifespan and accelerate its deterioration over time the placing position was found to experience the greatest stress displacement and strain the fatigue test also demonstrated that after million cycles the arm had accumulated damage the gradient boosting regression algorithm was selected as the machine learning ml algorithm for the study following a comparison of the performance of various ml regression models this finding underscores the significance of predictive maintenance in preventing breakdowns and extending the robots lifespan
