doi,category,clean_abs
10.1007/978-981-13-8668-8_7,supervised,"In the process of multi-layer and multi-bead wire and arc additive manufacturing (WAAM), the geometry of each layer has an important influence on the dimensional accuracy and surface quality of the final forming parts. In this paper, machine learning model is used to predict the geometrical morphology of multi-layer and multi-channel WAAM forming parts. A series of experiments of WAAAM under different parameters were carried out by rotating combination experiment, and the bead geometry of the forming parts were obtained by visual sensing system developed by ourselves. Aiming at the problem of less data samples which would lead to over-fitting in the process of model training, this paper introduces the XGBoost algorithm for modeling. Compared with the neural network algorithm, the regression prediction model of arc additive manufacturing morphology based on XGBoost has a higher prediction accuracy."
10.1371/journal.pone.0306987,supervised,"This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.The laboratory-scale (in-vitro) microbial fermentation based on screening of process parameters (factors) and statistical validation of parameters (responses) using regression analysis. The recent trends have shifted from full factorial design towards more complex response surface methodology designs such as Box-Behnken design, Central Composite design. Apart from the optimisation methodologies, the listed designs are not flexible enough in deducing properties of parameters in terms of class variables. Machine learning algorithms have unique visualisations for the dataset presented with appropriate learning algorithms. The classification algorithms cannot be applied on all datasets and selection of classifier is essential in this regard. To resolve this issue, factor-response relationship needs to be evaluated as dataset and subsequent preprocessing could lead to appropriate results. The aim of the current study was to investigate the data-mining accuracy on the dataset developed using in-vitro pyruvate production using organic sources for the first time. The attributes were subjected to comparative classification on various classifiers and based on accuracy, multilayer perceptron (neural network algorithm) was selected as classifier. As per the results, the model showed significant results for prediction of classes and a good fit. The learning curve developed also showed the datasets converging and were linearly separable."
10.59038/jjmie/170403,supervised,"All rights reservedBending is one of the widely used forming processes for sheet metals. However, due to the metal elasticity, the springback characteristic is unavoidable, leading to deviations from the desired final shapes and causing cumulative fitting problems in the assembly stages. Thus, precise predictions of the springback responses will enhance the sheet metal forming and the overall manufacturing processes. This is achieved by employing tree-based machine learning algorithms. These algorithms are used for their simplicity, preciseness, and consistency. Based on the tree-based algorithms, many prediction models are constructed and evaluated. First, experimental setup is established to measure the springback angles for different manufacturing conditions such as: the bending angle, the sheet metal’s width and thickness, the machine settings, etc. Then, these data sets are divided into training and testing groups for the prediction models. This division is carried randomly, where 90 % of the data sets are used for training, and 10 % are left for testing the models’ accuracy. The models are evaluated by comparing their predicted springback angles with the experimental values. The deviation errors are measured using the Mean Square Error (MSE), the Mean Absolute Error (MAE), and the Root Mean Square Error (RMSE).It isrevealed that the LightGBM prediction model is the most accurate model with 0.42 deg., 0.26 deg., and 0.52 deg. for MAE, MSE, and RMSE, respectively. The Gradient boosting comes in the second place with 0.66 deg., 0.760 deg., and 0.80 deg. for MAE, MSE, and RMSE, respectively."
10.3390/sym13060938,supervised,"Licensee MDPI, Basel, Switzerland.Numerical models for the flow of blood and other fluids can be used to design and optimize microfluidic devices computationally and thus to save time and resources needed for production, testing, and redesigning of the physical microfluidic devices. Like biological experiments, computer simulations have their limitations. Data from both the biological and the computational experiments can be processed by machine learning methods to obtain new insights which then can be used for the optimization of the microfluidic devices and also for diagnostic purposes. In this work, we propose a method for identifying red blood cells in flow by their stiffness based on their movement data processed by neural networks. We describe the performed classification experiments and evaluate their accuracy in various modifications of the neural network model. We outline other uses of the model for processing data from video recordings of blood flow. The proposed model and neural network methodology classify healthy and more rigid (diseased) red blood cells with the accuracy of about 99.5% depending on the selected dataset that represents the flow of a suspension of blood cells of various levels of stiffness."
10.1007/s00170-025-16601-9,supervised,"The production of parts with high strength and consistent quality through metal additive manufacturing is a challenging task. Machine learning methods may help optimize the production process or improve materials. In this work, convolutional neural networks (CNNs) are developed for the classification of hot work steels and for the prediction of mechanical properties of these steels from microstructure images recorded by scanning electron microscopy (SEM). A total of 18 samples of two different hot work steels fabricated by laser-based powder bed fusion (PBF-LB/M) are investigated, each with or without preheating and with one of five different post-heat treatments. The steels are standard steel H11 and a newly developed modification intended for the same application. The goal of the heat treatments and the modification of the steel is to achieve comparable crack-free properties without the need for a preheating process. The microstructure images of the 18 samples are accurately distinguished by a classification CNN with an overall accuracy of 98%. Furthermore, regression CNNs for the prediction of yield strength (YS) and ultimate tensile strength (UTS) generalize well and predict YS and UTS for new untrained samples with average relative errors of only 4.1% and 3.9%, respectively."
10.1016/j.jmapro.2024.01.072,supervised,"Predicting the dimensional accuracy of products and identifying defect parts at the early manufacturing stage is vital yet challenging. Physical simulation is commonly used for analyzing the part deformation during the casting process. However, it is usually timing consuming, thus not suitable for applications during the manufacturing process. This paper proposes a data-driven framework for estimating and screening defect products at the early stage based on ensemble learning techniques. Taking the geometrical relationship of the intermediate and the final products into consideration, a feature derivation and selection method is firstly developed. Then, an ensemble machine learning model is proposed for high prediction accuracy with the integration of multiple machine learning models. Validation experiment outcomes for the case of aircraft hollow turbo blade manufacturing indicate that the proposed prediction method can accurately predict the wall thickness of the final parts based on wax patterns and effectively identify the unqualified intermediate parts at the early stage. In this way, the production yield rate could be improved, and the cost of the production could be reduced."
10.1007/978-981-96-0763-1_7,supervised,"2025.Food and agriculture sector is witnessing several challenges with respect to production as well as meeting the growing demand for food in the country. Demand for healthier food option and traceability require continuous technological as well as supply chain innovations. New institutional arrangements like FPOs are addressing some of these challenges by way of collectivizing the activities, improving their bargaining power, providing access to markets inputs and farm outputs, and providing necessary infrastructure for value addition and primary processing at the farmers’ doorsteps. However, these FPOs also face some challenges such as lack of awareness about modern technologies, inadequate working capital, and limited access to markets. On the other hand, agri-startups are using emerging technologies to improve farm productivity and making agriculture more sustainable. Digital technologies, data analytics, AI-based predictive model, image sensing, IoT devices, sensors, satellite imagery, machine learning, blockchain, etc., are used by many of such agri-startups. However, they have constraints in making these technologies accessible to individual farmers due to their small land holding and technology affordability. A synergistic approach of “Full-Stack Farm-to-Fork Model” is suggested where agri-startups collaborate with FPOs to leverage their grassroots understanding and established networks, while FPOs get benefit from the technological advancements brought in by these new-age entrepreneurs. Such synergy would have multi-pronged benefits in the farm-to-fork value chain by reducing the transaction cost, improving the productivity, and also cutting down the carbon footprint in the value chain."
10.1021/acs.iecr.9b03702,supervised,"Copyright © 2019 American Chemical Society.Just-in-time (JIT) learning has been widely used for data-driven soft sensor modeling. However, traditional JIT soft sensors do not always function well when applied to complex industrial processes because they are only equipped with a single learning configuration. Therefore, a novel ensemble JIT (EJIT) learning-based soft sensor, referred to as triple-modal perturbation (TP)-based EJIT extreme learning machine (TP-EJITELM), is proposed. In the method, a set of diverse and accurate base JITELM models are generated by using heterogeneous similarity measures and optimizing the model structure and input variables through an evolutionary multiobjective optimization approach. Then, a selective ensemble learning strategy is used to integrate the base models. Compared with traditional JIT soft sensors, TP-EJITELM can significantly improve prediction performance because of the complementary advantages of heterogeneous similarity measures and a good tradeoff between model complexity and accuracy. The effectiveness of the proposed method is demonstrated through two industrial applications."
10.1117/12.3058653,supervised,"The increasing complexity of modern printed circuit boards (PCBs) demands the adoption of advanced 3D X-ray reconstruction techniques for precise, non-destructive assessment. Current metrological frameworks frequently fall short in addressing pivotal challenges such as the identification of micro-defects, the assurance of solder joint integrity, and the assessment of multi-layer alignment. This research introduces an innovative metrological framework specifically designed for PCB evaluation, incorporating two fundamental metrics aimed at enhancing the fidelity and reliability of reconstructions. The Circuit Trace Fidelity Index (CTFI) effectively measures the geometric accuracy of reconstructed circuit pathways by contrasting them with the empirical ground truth through the deployment of Euclidean distance, thereby promoting the precise discernment of complex configurations. The Layer Alignment Consistency Score (LACS) appraises the accuracy of inter-layer alignment in multi-layered PCBs, utilizing the standard deviation of alignment offsets normalized against an acceptable threshold derived from design tolerances, manufacturing capabilities, or functional testing. These metrics are meticulously crafted to integrate effortlessly with existing reconstruction processes, capitalizing on domain-specific expertise and machine learning methodologies to bolster robustness and applicability. With well-defined mathematical formulations and pragmatic strategies for threshold determination, this framework offers a standardized, quantitative methodology for evaluating reconstruction fidelity. By addressing the particular requirements of PCB inspection, encompassing trace geometry accuracy and inter-layer consistency, this groundbreaking metrology guarantees both structural and functional integrity while optimizing quality control protocols."
10.3390/insects15070463,supervised,"This study addresses the challenges in plant pest and disease prediction within the context of smart agriculture, highlighting the need for efficient data processing techniques. In response to the limitations of existing models, which are characterized by slow training speeds and a low prediction accuracy, we introduce an innovative prediction method that integrates gene expression programming (GEP) with support vector machines (SVM). Our approach, the gene expression programming—support vector machine (GEP-SVM) model, begins with encoding and fitness function determination, progressing through cycles of selection, crossover, mutation, and the application of a convergence criterion. This method uniquely employs individual gene values as parameters for SVM, optimizing them through a grid search technique to refine genetic parameters. We tested this model using historical data on wheat blossom midges in Shaanxi Province, spanning from 1933 to 2010, and compared its performance against traditional methods, such as GEP, SVM, naive Bayes, K-nearest neighbor, and BP neural networks. Our findings reveal that the GEP-SVM model achieves a leading back-generation accuracy rate of 90.83%, demonstrating superior generalization and fitting capabilities. These results not only enhance the computational efficiency of pest and disease prediction in agriculture but also provide a scientific foundation for future predictive endeavors, contributing significantly to the optimization of agricultural production strategies."
10.1016/j.seta.2024.103684,supervised,"A hybrid method fault prediction mechanism for wind turbines is developed using machine learning and deep learning methods. The random forest method is applied to identify features that are highly correlated with faults, and to eliminate low-correlation features to maximize prediction model efficiency. Long short-term memory (LSTM) deep learning methods are then applied to handle the time series data, analyze historical pre-failure information, use the dynamic weight loss function to address data imbalance, and finally predict the future wind turbine health status. The resulting fault prediction model produces average prediction accuracy, precision and recall rates of 99%, 70% and 77%, respectively for predictions of one to six hours ahead, indicating that the proposed model can effectively predict wind turbine failures in advance, thus providing increased time for fault response and effectively improving the wind turbine lifespan."
10.1016/j.jclepro.2023.140411,supervised,"This study introduces a novel approach that combines mine production intensity with meteorological conditions to enable accurate daily prediction of dust concentration in open-pit mines. To achieve this, the study collected meteorological factors and production intensity parameters spanning 365 days from the Haerwusu open-pit coal mine in China. To enhance the accuracy of predictions, six heuristic algorithms were employed to optimize the hyperparameters of the random forest algorithm. During the prediction process, the results of PM2.5, PM10, and TSP were compared, and the model performance with and without mine operational parameters was analyzed. The findings demonstrate significant advancements in predicting three distinct indicators through the proposed method. Specifically, the research successfully predicted mine dust concentration on a daily basis over a long-term period. The introduction of production intensity parameters ensures the accuracy and reliability of dust concentration prediction, and the availability of future meteorological factors enables a realistic prediction of dust concentration in open-pit mines. These outcomes carry substantial practical implications, including safeguarding worker health, optimizing mine operation plans, and enhancing coal production efficiency."
10.1016/j.biteb.2024.101993,supervised,"Six ML models, including support vector regression (SVR), kernel ridge regression (KRR), extreme gradient boosting (XGB), extreme learning machine (ELM), random forest (RF), and artificial neural networks (ANN), were employed to predict lipase activity in a multi-substrate system using avocado seed, coconut pulp, and palm oil mill effluent (POME) with Aspergillus niger. SVR proved the most effective (R2 = 0.9738; RMSE = 7.0089). Further optimization using manta ray foraging optimization (MFRO), particle swarm optimization (PSO), and genetic algorithm (GA) identified optimal substrate loadings, achieving a maximum lipase activity of 194.38 U/gds. The addition of a mixture of surfactants (Tween 80, Tween 20, Triton X-100) further increased lipase production to 520.95 U/gds (168.3 % increase). Global sensitivity analysis (GSA) confirmed the important roles of avocado seed, POME, and surfactants in enhancing lipase production. This approach represents a significant advancement in bioprocess scalability."
10.3390/systems13070578,supervised,"As Chinese firms play pivotal roles in global supply chains, multinational corporations face increasing pressure to ensure ESG accountability across their sourcing networks. Current ESG rating systems lack transparency in incorporating China’s unique industrial, economic, and cultural factors, creating reliability concerns for stakeholders managing supply chain sustainability risks. This study develops an explainable artificial intelligence framework using SHAP and permutation feature importance (PFI) methods to predict the ESG performance of Chinese firms. We analyze comprehensive ESG data of 1608 Chinese listed companies over 13 years (2009–2021), integrating financial and non-financial determinants traditionally examined in isolation. Empirical findings demonstrate that random forest algorithms significantly outperform multivariate linear regression in capturing nonlinear ESG relationships. Key non-financial determinants include patent portfolios, CSR training initiatives, pollutant emissions, and charitable donations, while financial factors such as current assets and gearing ratios prove influential. Sectoral analysis reveals that manufacturing firms are evaluated through pollutant emissions and technical capabilities, whereas non-manufacturing firms are assessed on business taxes and intangible assets. These insights provide essential tools for multinational corporations to anticipate supply chain sustainability conditions."
10.35940/ijeat.A1486.109119,supervised,"Gearbox is an important component used for automobiles, machine tools, industries etc. Failure of any component in gearbox will cause huge maintenance cost and production loss. Failure should be detected as early as possible in order to avoid sudden breakdown which even cause catastrophic failures. Vibration signals are used for machine condition monitoring for predictive maintenance and efficiently predicts fault in the gearbox. In this paper signals from vibration is used for diagnosis of gearbox fault. The experiment uses four different conditions of gearbox in four different load conditions. Then statistical feature extraction is done and obtained result is given to Decision Tree, Support Vector Machine (SVM), Convolutional Neural Network (CNN) and Deep Neural Network (DNN) for fault diagnosis. The efficiency of these four techniques is compared and shows that machine learning is better than deep learning in gearbox fault diagnosis."
10.1016/j.knosys.2024.112445,supervised,"V.Most methods only use normal samples to learn anomaly detection (AD) models in an unsupervised manner. However, these samples may be noisy in real-world applications, causing the models to be unable to accurately identify anomaly objects. In addition, there are a small number of anomaly samples in real industrial production that should be fully utilized to help model discrimination. Existing methods of introducing anomaly samples still have bottlenecks in model identification capabilities. In this paper, by introducing both normal and a few abnormal samples, we propose a novel semi-supervised learning method for anomaly detection, named RobustPatch, which can improve the model discriminability through a self-cross scoring mechanism and the learning of feature AutoEncoder. Our approach contains two core designs: Firstly, we propose a self-cross scoring module, calculating the weights of normal and anomaly features extracted from corresponding images using a self-scoring and cross-scoring manner, respectively. Secondly, our approach proposes a fully connected feature AutoEncoder to rate the extracted features, which is trained with the supervision of the scored weights. Extensive experiments on the MVTecAD and BTAD datasets validate the superior anomaly boundaries discriminability of our approach and superior performance in noise-polluted scenarios."
10.1016/j.promfg.2021.06.059,supervised,"Published by Elsevier B.V.In Additive Manufacturing (AM), auditing layer-by-layer images can detect infill defective attacks effectively. However, the auditing process itself can become a target of inside or outside attackers in Cyber-Physical Manufacturing System (CPMS) environments because pervasive connection through various types of computer networks in CPMS opens new doors for adversaries to compromise various components in an attack detection system. To maintain an effective attack detection system and prevent data from malicious data injection, this paper presents a Layer Image Auditing System (LIAS) secured by the Blockchain technology in CPMS. LIAS consists of a pre-processing system and a Multilayer Perceptron Neural Network (MLP). To evaluate the prediction accuracy of LIAS, a set of simulated infill images and physical images were used for training and testing. The effectiveness of the Blockchain implementation is demonstrated by presenting the comparative performance analysis of the proposed attack detection system with and without the Blockchain."
10.4108/eetpht.10.5552,supervised,"Yadav et al.INTRODUCTION: Polycystic Ovary Syndrome is a condition in which the ovaries manufacture androgen, seen in small traces, resulting in the production of cysts. Menstrual cycle abnormalities, clinical and/or biochemical hyperandrogenism, and the presence of polycystic ovaries on ultrasound should all be used to diagnose PCOS. PCOS appears to be a multifaceted illness influenced by both genetic and environmental factors and the symptoms include excessive hair on the face and body, weight gain, voice changes, skin type changes, and irregular periods. OBJECTIVES: This is the objective of this paper is to identify PCOS in its initial stage. METHODS: To address this issue the study proposes a comparison of various machine learning algorithms and optimization techniques Among which GSCV gave the best result of 94% accuracy, followed by TPOT with 91% accuracy. Additionally, we also applied Feature selection methods to eliminate zero-importance features to increase the accuracy of algorithms. RESULTS: The main results obtained in this paper This study explored various Feature selection techniques, ML and DL models. It is shown that Grid Search CV and TPOT classifier were best classifiers with 94% and 91% respectively. CONCLUSION: These are the conclusions of this paper and this study will explore various DL methodologies and try to find out best optimal results for the PCOS Detection. And also, to develop an PCOS detection application to keep track of menstrual cycles and track activities and symptoms for PCOS."
10.1007/978-3-031-74633-8_5,supervised,"To be employed in real-world applications, explainable artificial intelligence (XAI) techniques need to provide explanations that are comprehensible to experts and decision-makers with no machine learning (ML) background, thus allowing for the validation of the ML model via their domain knowledge. To this aim, XAI approaches based on feature importance and counterfactuals can be employed, although both have some limitations: the last provide only local explanations, whereas the first can be very computationally expensive. A less computationally-expensive global feature importance measure can be derived by considering the instances close to the model decision boundary and analyzing how often some minor changes in one feature’s values do affect the classification outcome. However, the validation of XAI techniques in the literature rarely employs the application domain knowledge due to the burden of formalizing it, e.g., providing some degree of expected importance for each feature. Still, given an ML model, it is difficult to determine whether an XAI technique may inject a bias in the explanation (e.g., overestimating or underestimating the importance of a feature) in the absence of such ground truth. To address this issue, we test our feature importance approach both with the UCI benchmark datasets and real-world smart manufacturing data characterized by annotations provided by domain experts about the expected importance of each feature. If compared to the state-of-the-art, the employed approach results to be reliable and convenient in terms of computation time, as well as more concordant with the expected importance provided by the domain expert."
10.1016/j.cscm.2025.e04741,supervised,"However, assessing their environmental performance often requires detailed data and time-intensive analyses. This study presents a machine learning-based methodology for the rapid estimation of the CO₂ footprint and environmental-mechanical performance (CO₂/MPa ratio) of concrete mixtures using only the proportions of their main components (i.e., ordinary portland cement (OPC), SCMs, aggregates, water, and water-reducing admixtures). The models were developed using a dataset of 246 mixtures compiled from the literature and validated against 15 experimentally tested mixtures. The results demonstrate that the Gaussian Process Regressor provides the highest predictive accuracy for both CO₂ footprint and CO₂/MPa ratio. Feature analysis revealed that OPC content has the highest impact on the CO₂ footprint, while aggregate fraction has the most significant influence on the CO₂/MPa ratio. An optimization framework was also implemented to explore the trade-offs among mix components, showing that increasing SCM content does not always lead to improved CO₂/MPa ratio, highlighting the need for balanced mixture design. The developed models offer a practical tool for supporting early-stage decision-making in construction projects by enabling rapid sustainability assessments of concrete mixtures, independent of specific SCM types, production methods, or geographical context."
10.1016/j.mfglet.2023.08.010,supervised,"0 have become increasingly established and thus a widespread technology among companies. By means of data acquisition, processes can not only be made more sustainable and resource-efficient but through emerging technologies like fault detection or predictive maintenance, a higher Overall Equipment Effectiveness (OEE) can be achieved. As a result, the availability of the machine tools remains high and process chains will not be disturbed. However, many companies still operate in brownfield production sites with legacy machines and therefore with limited opportunities for machine data access and use in an economically viable manner. As a result, many advantages that would increase the OEE of machine tools cannot be used. To present a solution for retrofitting brownfield machines, a low-effort system was developed that extracts machine control signals from different machine data sources and automatically identifies them using a multi-stage algorithm. This algorithm consists of analytical rule bases built using expert knowledge and a machine learning model for classification. The best performing models were selected as machine learning models, which are a Residual Network, a Fully Convolutional Network, a Long-Short-Term Memory, and a Random Forest. With different datasets from two machine tools, the overall model was tested and was able to correctly identify the signals present with an accuracy of 86.92 % to 98.93 % on average. Using this approach, the identified signals are assigned to an information model linking them to the respective machine tool axes. As a result, brownfield machines are also made accessible for modern technologies such as predictive maintenance or a reduction in rejects as a result of error detection."
